balcony,bath,bhk,price,site_location,total_sqft,area_type
0,1,1,8.44,Kothrud,1350,Plot  Area
0,1,1,11.66,Satara Road,530,Super built-up  Area
0,1,1,13.31,Bhavani Peth,605,Super built-up  Area
0,1,1,13.57,Ghorpadi,590,Super built-up  Area
0,1,1,13.86,Dhayari Phata,630,Super built-up  Area
0,1,1,14,Baner,400,Built-up  Area
0,1,1,14,Narayan Peth,1000,Super built-up  Area
0,1,1,14,Shukrawar Peth,400,Plot  Area
0,1,1,16,Gultekdi,450,Built-up  Area
0,1,1,16,Mundhawa,650,Built-up  Area
0,1,1,16.5,Law College Road,1453,Plot  Area
0,1,1,16.9,Mukund Nagar,360,Super built-up  Area
0,1,1,18,Kondhwa Khurd,600,Super built-up  Area
0,1,1,19,Padmavati,560,Super built-up  Area
0,1,1,19.5,Rasta Peth,1075,Plot  Area
0,1,1,19.5,Raviwar Peth,520,Super built-up  Area
0,1,1,19.55,Mukund Nagar,782,Super built-up  Area
0,1,1,19.82,Wakadewadi,734,Super built-up  Area
0,1,1,20,Dhayari Phata,600,Built-up  Area
0,1,1,20,Kalyani Nagar,1200,Plot  Area
0,1,1,20,Model colony,600,Plot  Area
0,1,1,20,Shukrawar Peth,500,Built-up  Area
0,1,1,20.03,Prabhat Road,425,Built-up  Area
0,1,1,21,Tilak Road,810,Built-up  Area
0,1,1,21,Yerawada,550,Super built-up  Area
0,1,1,21.53,Model colony,525,Super built-up  Area
0,1,1,22,Aundh,540,Plot  Area
0,1,1,22.89,Tilak Road,296,Super built-up  Area
0,1,1,23,Deccan Gymkhana,45,Plot  Area
0,1,1,24,Kothrud,600,Plot  Area
0,1,1,24,Wagholi,500,Built-up  Area
0,1,1,25,Mukund Nagar,469,Super built-up  Area
0,1,1,25.25,Fergusson College Road,510,Super built-up  Area
0,1,1,25.49,Bopodi,1500,Plot  Area
0,1,1,25.84,Narayan Peth,646,Built-up  Area
0,1,1,26,Kalyani Nagar,635,Built-up  Area
0,1,1,26,Khadki,812,Plot  Area
0,1,1,26,Kharadi,375,Built-up  Area
0,1,1,26,Model colony,527,Built-up  Area
0,1,1,26,Shukrawar Peth,812,Plot  Area
0,1,1,26.73,Uruli Devachi,2324,Plot  Area
0,1,1,26.91,Yerawada,658,Super built-up  Area
0,1,1,27,Rasta Peth,525,Super built-up  Area
0,1,1,27,Sinhagad Road,525,Super built-up  Area
0,1,1,28,Aundh,440,Super built-up  Area
0,1,1,28,Camp,445,Super built-up  Area
0,1,1,28,Guruwar peth,381,Carpet  Area
0,1,1,28,Manik Bagh,610,Super built-up  Area
0,1,1,28,Nana Peth,635,Super built-up  Area
0,1,1,28.32,Dhankawadi,708,Super built-up  Area
0,1,1,29.25,Dehu Road,525,Super built-up  Area
0,1,1,29.9,Viman Nagar,451,Super built-up  Area
0,1,1,30,Nana Peth,15,Carpet  Area
0,1,1,30,Parvati Darshan,540,Plot  Area
0,1,1,30,Vishrant Wadi,650,Super built-up  Area
0,1,1,30,Wakadewadi,450,Plot  Area
0,1,1,30,Warje,660,Super built-up  Area
0,1,1,30.12,Ghorpadi,755,Super built-up  Area
0,1,1,30.84,Karve Road,694,Super built-up  Area
0,1,1,31.11,Sadashiv Peth,1575,Plot  Area
0,1,1,32,Somwar Peth,600,Built-up  Area
0,1,1,32.82,Viman Nagar,663,Super built-up  Area
0,1,1,33,Yerawada,600,Plot  Area
0,1,1,34,Nagar Road,510,Built-up  Area
0,1,1,34.27,Balaji Nagar,745,Super built-up  Area
0,1,1,34.78,Mangalwar peth,606,Super built-up  Area
0,1,1,35,Aundh,700,Super built-up  Area
0,1,1,35,Camp,540,Built-up  Area
0,1,1,35,Fatima Nagar,400,Built-up  Area
0,1,1,35,Hadapsar,527,Super built-up  Area
0,1,1,35,Sahakar Nagar,440,Built-up  Area
0,1,1,35.8,Wakadewadi,702,Super built-up  Area
0,1,1,36,Karve Road,700,Super built-up  Area
0,1,1,36,Wadgaon Sheri,540,Built-up  Area
0,1,1,37,Navi Peth,600,Plot  Area
0,1,1,37.5,Narayan Peth,1500,Plot  Area
0,1,1,38,Chandan Nagar,700,Super built-up  Area
0,1,1,38,Khadki,600,Super built-up  Area
0,1,1,38,Shivaji Nagar,662,Super built-up  Area
0,1,1,39,Satara Road,775,Super built-up  Area
0,1,1,39.82,Model colony,1200,Built-up  Area
0,1,1,39.9,Laxmi Road,950,Super built-up  Area
0,1,1,40,Alandi Road,375,Plot  Area
0,1,1,40,Deccan Gymkhana,650,Built-up  Area
0,1,1,41,Guruwar peth,700,Built-up  Area
0,1,1,41,Nagar Road,1260,Plot  Area
0,1,1,42.5,Anandnagar,645,Super built-up  Area
0,1,1,45,Dhole Patil Road,600,Super built-up  Area
0,1,1,45,Ghorpade Peth,697,Super built-up  Area
0,1,1,45,Manik Bagh,662,Built-up  Area
0,1,1,45,Sahakar Nagar,600,Built-up  Area
0,1,1,45,Vishrant Wadi,600,Built-up  Area
0,1,1,45,Vishrant Wadi,1200,Plot  Area
0,1,1,46,Karve Road,722,Super built-up  Area
0,1,1,46.1,Khadki,663,Super built-up  Area
0,1,1,47,Ambegaon Budruk,600,Super built-up  Area
0,1,1,48,Kharadi,660,Plot  Area
0,1,1,48,Mangalwar peth,1200,Plot  Area
0,1,1,48,Pashan,1200,Built-up  Area
0,1,1,50,Aundh Road,600,Plot  Area
0,1,1,50,Kasba Peth,850,Built-up  Area
0,1,1,50.75,Laxmi Road,665,Super built-up  Area
0,1,1,52,Balaji Nagar,1150,Plot  Area
0,1,1,52,Gokhale Nagar,800,Plot  Area
0,1,1,52,Karve Road,600,Plot  Area
0,1,1,53,Laxmi Road,936,Built-up  Area
0,1,1,55,Aundh,1350,Plot  Area
0,1,1,55,Pashan,400,Built-up  Area
0,1,1,55,Sinhagad Road,640,Built-up  Area
0,1,1,56.25,Kondhwa,750,Plot  Area
0,1,1,58,Wadgaon Sheri,600,Plot  Area
0,1,1,59,Ganeshkhind,700,Built-up  Area
0,1,1,60,Wadgaon Sheri,1500,Super built-up  Area
0,1,1,65,Shivaji Nagar,1200,Super built-up  Area
0,1,1,69,Katraj,1200,Built-up  Area
0,1,1,70,Guruwar peth,500,Plot  Area
0,1,1,70,Wagholi,500,Built-up  Area
0,1,1,72,Bopodi,800,Built-up  Area
0,1,1,75,Camp,840,Super built-up  Area
0,1,1,75,Khadaki,660,Built-up  Area
0,1,1,75,Market yard,1500,Plot  Area
0,1,1,85,Kondhwa Khurd,505,Built-up  Area
0,1,1,88.2,Aundh,588,Plot  Area
0,1,1,90,Ganesh Peth,600,Super built-up  Area
0,1,1,90,Laxmi Road,560,Plot  Area
0,1,1,95,Ghorpadi,1200,Super built-up  Area
0,1,1,95,Kasba Peth,660,Built-up  Area
0,1,1,97.5,Senapati Bapat Road,600,Built-up  Area
0,1,1,100,Narayangaon,896,Plot  Area
0,1,1,120,Dhayari Phata,2000,Plot  Area
0,1,1,150,Kalyani Nagar,1200,Built-up  Area
0,1,1,150,Khadaki,26136,Plot  Area
0,1,1,150,Yerawada,700,Plot  Area
0,1,1,175,Anandnagar,900,Built-up  Area
0,1,1,200,Mahatma Gandhi Road,2000,Plot  Area
0,1,1,200,Manik Bagh,1300,Super built-up  Area
0,1,1,241,Kothrud,1675,Plot  Area
